BatterSide,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,RelSpeed,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ
Right,2,1,2,Fastball,Fastball,InPlay,90.2814159,2057.617042,198.4409409,12:30:00,5.830170539,0.642440576,6.3757257,-16.27199514,17.14785201,5.728421053,2.286014987,-0.637718308,82.97128684,-5.444722281,-0.825081183,0.416077037,96.45307214,41.05254154,15.52691661,4163.375086,102.6261945,87.78734168,39.5953533,322.4264805,118.4572464,30.75467809,5.495413208,-3.647041001,10.03188619,-0.507616983,50,5.65128263,4.208652586,-131.3909915,-5.94486655,-6.404110845,26.66766568,-14.55831263,90.58989844,111.6020227,1.448664506,7.310129062,0.70753863,2.218123728,0.647827434,1.613907297,2.304794347,0.634869793
Left,0,0,0,Curveball,Curveball,BallCalled,79.21549808,2533.774177,101.4238181,9:30:00,5.963489451,0.943940571,6.138798034,-42.60830044,1.431726347,-7.290287209,0.998582894,-0.184489827,73.01647491,-9.506709268,-1.943750176,0.477634079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.807934543,1.220649923,-0.897249356,50,5.824889097,1.335143192,-115.3011498,-4.252996065,5.108158229,22.14328607,-30.5366063,78.91475548,NA,NA,6.199023176,-1.569315086,0.484470017,0.28818603,NA,NA,NA
Left,0,1,0,Curveball,Curveball,StrikeSwinging,78.11301559,2565.150047,32.28896098,7:00:00,5.971637965,0.900343716,6.103094379,-49.88247096,-4.839986678,-3.031646396,0.741059553,-0.469256614,72.72476628,-10.4444647,-1.779009253,0.483039545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32501624,-2.319166078,-0.806038235,50,5.856087833,2.481480136,-113.7454306,-3.677880358,1.74339132,20.02251177,-35.22549343,78.03165796,NA,NA,5.388249309,-0.064486603,0.464003014,0.515497232,NA,NA,NA
Left,0,1,1,Fastball,Fastball,StrikeCalled,89.79460771,1843.958474,204.046552,12:45:00,5.850994053,0.69615967,6.345797095,-17.883295,15.71594931,7.026593068,1.562777868,-0.038347847,83.25443664,-6.386428986,-0.10875746,0.417192289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.187509612,9.325351064,-0.595555605,50,5.621997462,3.058374698,-130.7036951,-7.477049605,-7.335974214,24.26747608,-15.83724189,90.34773048,NA,NA,6.540171076,-1.126774466,1.274002158,0.041567727,NA,NA,NA
Left,0,1,2,Curveball,Curveball,StrikeSwinging,79.87889503,2632.269112,60.89035933,8:00:00,5.91039181,0.837206842,5.570401921,-46.97901908,-3.297862777,-5.848985459,2.480321592,-0.24933855,74.32119797,-8.165915005,-1.729668849,0.475684041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.951917734,-1.881196839,-0.778173473,50,5.924200133,1.484235616,-116.3185009,-0.407415202,4.089425478,19.5371445,-34.78015583,79.23826165,NA,NA,5.557697066,-2.798501964,1.846279169,0.380225973,NA,NA,NA
Left,1,0,0,Fastball,Fastball,FoulBall,90.09687294,1917.242179,200.7039179,12:45:00,5.770786155,0.661662936,6.461359088,-15.18863385,18.19156829,6.887304229,1.770285186,0.071053177,83.04079004,-5.836188826,0.037400146,0.415830174,77.03150659,84.66975944,-53.02226932,NA,NA,NA,NA,NA,NA,NA,NA,-4.112378238,10.76634791,-0.575414772,50,5.553995575,2.698292071,-131.1365393,-7.264711961,-7.211616703,25.89984111,-13.29378757,90.64367841,NA,NA,7.056082897,1.697214546,1.798918531,-0.070889415,1.685622169,1.797737079,-0.070895415
Left,1,0,1,Curveball,Curveball,BallCalled,77.49391868,2536.103477,68.58158841,8:15:00,5.849797535,0.815166898,6.055562688,-49.07022691,-3.17914239,-7.99455177,4.441361801,0.064151101,71.37433921,-6.315760821,-1.59667383,0.487568544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.307644775,-2.48431661,-0.803733882,50,6.047931589,0.400504375,-112.746688,4.348198381,5.573767324,19.49679056,-35.38856681,77.30682583,NA,NA,6.11957947,-2.616578295,3.966352271,0.052906566,NA,NA,NA
Left,1,1,1,Fastball,Fastball,BallCalled,88.82210763,2000.637387,184.0845642,12:15:00,5.780436211,0.804796005,6.372275156,-14.73813188,19.93810281,1.42611026,4.058972136,0.6739858,80.91476873,-3.335291906,-1.52E-04,0.423825892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.861199745,11.10392559,-0.785914877,50,5.734895604,0.57070779,-129.3806869,-1.645570867,-1.454971718,27.82106183,-13.41429185,88.93363335,NA,NA,7.907338894,-2.667827381,3.811928695,-0.674846681,NA,NA,NA
Left,1,2,1,ChangeUp,ChangeUp,BallCalled,80.85283938,1609.330529,200.6321656,12:45:00,5.565942169,1.035444089,6.554533136,-23.8276791,17.5455069,6.620812931,3.930565803,1.328182898,74.08122634,-4.146205975,0.977820441,0.462946709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.733557335,9.584524726,-1.018858553,50,5.581929785,0.409183381,-117.8427102,0.167323478,-5.257634941,22.09275086,-18.67701943,81.41839176,NA,NA,6.771613041,-2.904918096,3.600979842,-1.406461639,NA,NA,NA
Left,1,3,1,Fastball,Fastball,BallCalled,89.7425084,1938.418765,185.2602927,12:15:00,5.849759056,0.574325549,6.557608154,-14.88284366,18.6543385,1.720375482,3.870311884,-0.105395926,82.2913587,-3.632232915,-0.570572672,0.416806807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.190918247,10.5148749,-0.513292809,50,5.787829706,1.999893044,-130.7894472,-2.26970106,-2.069551488,26.74520783,-13.90153065,90.43128821,NA,NA,7.451149705,-2.030011429,3.645079771,0.138977331,NA,NA,NA
