TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Fastball,BallCalled,Undefined,87.7207775001,2107.839203,156.279119823,17.9472956413,-7.90083911833,3.58425689699,0.20365033441
ChangeUp,BallCalled,Undefined,74.4507679903,1557.31330757,100.98649747,2.8445582295,-14.8914739049,0.508094451421,0.140051794211
Fastball,StrikeCalled,Undefined,84.737539383,2065.00215484,167.706870205,22.4260668746,-4.89471923116,2.30522951455,-1.35138462802
Fastball,InPlay,Out,88.6464790586,2156.76991921,175.454141934,20.9648032342,-1.66946483735,1.65847798597,-0.0593993498758
Fastball,StrikeCalled,Undefined,87.9116812235,2191.40342059,161.215262813,21.4209225323,-7.29736203142,1.99202371673,-0.278319079499
Fastball,BallCalled,Undefined,88.9587709865,2155.52062645,170.932147057,22.5898856188,-3.61053883166,1.13197856623,-0.295550861366
Fastball,BallCalled,Undefined,88.6076457207,2220.96791346,167.652387434,22.1758170448,-4.86160676283,0.978344877245,0.0212913008088
Fastball,InPlay,Out,88.712918083,2165.09561747,162.510280238,22.5356300363,-7.11141599836,0.930002634294,-0.572685228344
Fastball,BallCalled,Undefined,86.9770874784,2148.60547644,167.595063745,21.5496399092,-4.74744150194,3.04719974476,-0.459029781898
Fastball,FoulBall,Undefined,88.7997365367,2185.55835223,164.013102242,21.8160173986,-6.25971884316,1.74246469726,-0.25340399236
Fastball,BallCalled,Undefined,88.2308198482,2142.15600079,166.003104147,21.8701293392,-5.4598716468,3.81138207077,-0.921222955026
ChangeUp,FoulBall,Undefined,77.6501556991,1667.54073791,122.435594631,9.03374705029,-14.281915463,1.40483628623,-0.177696887549
Fastball,InPlay,Out,89.9571380714,2073.84495665,172.657961565,20.4488430263,-2.63891560992,2.32455368984,0.251652308095
ChangeUp,StrikeSwinging,Undefined,75.5640494688,1560.10774648,122.616255139,9.24882616034,-14.5234735079,1.3617640393,-0.37670358448
Fastball,FoulBall,Undefined,90.2061562136,2269.98982071,170.099306582,20.2884837075,-3.54668425767,3.01845882365,0.0915693789459
ChangeUp,BallCalled,Undefined,76.997194148,1690.30850647,108.61495642,5.56675060165,-16.655402853,3.89430105181,-1.62477265935
Fastball,StrikeSwinging,Undefined,90.6932043707,2220.13016637,166.849382324,22.4640981463,-5.25583924755,2.91510827511,-0.410829791688
Fastball,StrikeCalled,Undefined,87.6455421369,2171.96518801,163.19114041,21.2661401354,-6.43440305655,2.3384788753,-1.52545768047
Fastball,BallCalled,Undefined,88.9586602583,2178.7050794,166.72237339,21.6340819809,-5.11283035149,3.38218441976,-1.13195574193
