TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Curveball,BallCalled,Undefined,76.3135587642,2179.89988775,39.1319871712,-8.89136766347,-7.19778854986,2.67950604508,1.05399205895
Fastball,StrikeCalled,Undefined,90.2459286546,2094.25755596,208.482381835,17.0371729861,9.26039637884,1.56196590687,-0.491815944406
Curveball,BallCalled,Undefined,78.2738261116,2095.36957779,36.4149740152,-7.19765888451,-5.27847343783,3.70689283512,0.0854709010013
Fastball,BallCalled,Undefined,90.9958803652,2106.80857246,221.163266016,11.9714218467,10.4926934547,2.94782978068,-0.852812859005
Fastball,BallCalled,Undefined,89.3390224235,2049.09583531,203.640620483,15.425779712,6.76601434975,3.76484563921,-0.578837164109
Fastball,StrikeCalled,Undefined,90.4162179889,2060.90510068,210.174178442,15.3983318035,8.97066905064,2.41313270884,0.452237107886
Fastball,FoulBall,Undefined,91.0406225006,2159.28317862,204.207216145,15.9744156019,7.19516536143,3.12897197668,-0.37692257974
Fastball,BallCalled,Undefined,92.5620563286,2221.62142359,199.063154575,18.1178660146,6.27109324219,4.34340996833,0.174244585687
ChangeUp,InPlay,Out,82.4756737983,1708.0177351,229.196804652,11.2165968131,13.0375364282,1.87085550588,0.058869783335
Fastball,StrikeCalled,Undefined,94.9706377381,2201.21239322,210.871030209,17.2365076391,10.3210093372,1.97688610731,0.974605902047
Fastball,FoulBall,Undefined,93.3339228638,2192.54377534,224.610860567,13.7197938238,13.5636384738,1.28459293865,0.726465604611
Fastball,BallCalled,Undefined,94.2980712173,2315.54548641,214.003804448,16.5215271261,11.1648730034,3.49273519861,0.810863682033
Curveball,InPlay,Single,80.3607578398,2347.76126385,50.9705613459,-3.83722240561,-4.68513866466,2.06450993506,0.517838137106
Fastball,StrikeCalled,Undefined,93.0578989684,2066.98334834,198.016506562,19.6093362307,6.3872402352,2.7493852956,0.788452100184
Curveball,BallCalled,Undefined,78.3747908724,2265.27836575,65.2282417674,-3.18665974539,-6.81629530367,3.56761785423,0.101555680198
Fastball,FoulBall,Undefined,91.7107810989,1996.02306117,204.946044694,18.9611977962,8.83399967553,2.60596639921,-0.53031494955
Fastball,BallCalled,Undefined,92.4907705877,2144.437278,211.852344448,17.4965559905,10.8888893881,1.4031563144800001,-0.324138379891
Fastball,InPlay,Single,93.0308067318,2126.04627671,211.645189364,17.553565547,10.8361962316,2.31885755824,-0.876104411411
Curveball,FoulBall,Undefined,78.9175550137,2177.42141153,52.3621417854,-4.1853557405,-5.37518137263,2.42765710423,0.511164507545
